Batch,Project,Sample Date,Area,Site,Plot,Rep,Horizon,Sample Name,SedWetWeight,Seddw.ww,SedDryWeight,H2O~SRP (ugP/gdw),H2O~TP (ugP/g dw),H2O~DNRP (ugP/gdw),H2O~Fe (mg Fe/g dw),H2O~Ca (mg Ca/g dw),BD~SRP (ugP/gdw),BD~TP (ugP/gdw),BD~NRP (ugP/gdw),BD~Fe (mg Fe/gdw),BD~Al (mg Al/gdw),BD~Ca (mg Ca/gdw),NaOH~SRP (ug/gdw),NaOH~TP (ugP/gdw),NaOH~DNRP (ugP/gdw),NaOH~Fe (mg Fe/gdw),NaOH~Al (mg Al/gdw),NaOH~Ca (mg Ca/gdw),HA~P (ug P/gdw),HA~Fe (mg Fe/gdw),HCl~P (ug P/gdw),HCl~Fe (mg Fe/gdw),HCl~Al (mg Al/gdw),HCl~Ca (mg Ca/gdw),Res~P (ug P/gdw),Res~Fe (mg Fe/gdw),Res~Al (mg Al/gdw),Res~Ca (mg Ca/gdw)
20220103_Pfrac,PhIr2021,2-Jul-21,East,Mesic,2,,Organic,2-Jul-21 East Mesic 2-O,2.940,0.214,0.628,34.559,38.848,4.289,0.020,0.059,57.131,105.493,48.362,1.066,0.061,3.468,70.718,482.744,412.026,0.391,0.717,0.432,58.996,0.063,10.562,1.414,0.297,1.545,902.820,6.047,6.112,3.938
20220103_Pfrac,PhIr2021,2-Jul-21,East,Mesic,3,,Organic,2-Jul-21 East Mesic 3-O,3.090,0.236,0.730,1.201,3.427,2.225,0.017,0.034,22.990,75.249,52.259,3.775,0.191,2.319,56.687,369.206,312.519,0.839,1.193,0.231,74.031,0.193,6.311,2.291,0.367,0.806,693.293,13.941,17.640,2.452
20220103_Pfrac,PhIr2021,2-Jul-21,East,Hydric,1,,Organic,2-Jul-21 East Hydric 1-O,3.270,0.173,0.565,7.667,20.911,13.243,0.126,0.145,60.128,225.454,165.326,17.415,0.489,2.999,94.976,464.836,369.860,2.042,1.555,0.663,368.739,1.445,9.090,4.848,0.210,0.585,1345.873,25.807,8.386,4.376
20220103_Pfrac,PhIr2021,2-Jul-21,East,Hydric,2,,Organic,2-Jul-21 East Hydric 2-O,3.260,0.197,0.643,2.323,3.890,1.567,0.019,0.099,28.395,76.006,47.611,21.808,0.342,4.128,86.394,259.499,173.106,2.063,1.583,0.538,206.996,3.036,4.169,12.621,0.211,0.804,1333.875,42.767,20.349,3.536
20220103_Pfrac,PhIr2021,2-Jul-21,East,Hydric,3,,Organic,2-Jul-21 East Hydric 3-O,3.130,0.222,0.696,7.964,17.093,9.129,0.047,0.141,47.981,162.648,114.667,11.440,0.297,2.668,94.537,463.525,368.988,1.479,1.232,0.510,247.899,0.392,7.769,1.720,0.179,0.397,1588.699,41.669,20.499,2.505
20220103_Pfrac,PhIr2021,5-Jul-21,West,Dry,1,,Organic,5-Jul-21 West Dry 1-O,3.350,0.213,0.714,6.416,11.746,5.330,0.018,0.210,32.349,36.349,4.000,3.715,0.026,10.487,36.372,254.356,217.984,0.878,0.910,0.987,121.729,0.218,41.051,1.859,0.249,2.995,1628.635,29.822,22.908,13.818
20220103_Pfrac,PhIr2021,5-Jul-21,West,Dry,2,,Organic,5-Jul-21 West Dry 2-O,3.540,0.213,0.755,40.134,48.738,8.603,0.017,0.320,39.774,67.458,27.684,2.391,0.025,8.911,62.058,403.823,341.766,0.692,0.724,1.030,156.850,0.242,32.953,2.826,0.561,3.628,2356.399,61.497,39.260,13.748
20220103_Pfrac,PhIr2021,5-Jul-21,West,Dry,3,,Organic,5-Jul-21 West Dry 3-O,3.650,0.204,0.745,13.904,23.192,9.289,0.017,0.225,33.180,49.455,16.275,4.186,0.025,7.357,38.161,321.209,283.048,0.826,0.716,0.748,182.114,0.344,35.590,2.076,0.331,2.096,2868.501,61.238,38.970,13.304
20220117_Pfrac,PhIr2021,5-Jul-21,West,Mesic,1,,Organic,5-Jul-21 West Mesic 1-O,3.150,0.140,0.442,34.802,40.992,6.190,0.028,0.445,50.425,55.345,4.919,0.897,0.042,14.581,65.314,570.782,505.468,0.184,0.493,1.245,93.489,0.024,21.344,0.992,0.240,6.505,1112.076,5.723,3.845,11.158
20220117_Pfrac,PhIr2021,5-Jul-21,West,Mesic,2,,Organic,5-Jul-21 West Mesic 2-O,3.190,0.124,0.396,2.258,6.306,4.048,0.032,0.198,36.570,25.161,-11.409,0.543,0.047,10.942,57.837,416.470,358.633,0.198,0.309,0.904,48.117,0.013,7.592,0.894,0.419,6.314,581.845,2.102,2.805,15.648
20220117_Pfrac,PhIr2021,5-Jul-21,West,Mesic,3,,Organic,5-Jul-21 West Mesic 3-O,3.770,0.162,0.610,1.902,4.100,2.198,0.020,0.187,37.122,56.036,18.914,2.014,0.031,12.098,65.166,569.189,504.023,0.913,1.020,2.302,279.965,0.186,23.846,2.505,0.307,7.939,1317.816,10.215,4.949,11.463
20220117_Pfrac,PhIr2021,5-Jul-21,West,Hydric,1,,Organic,5-Jul-21 West Hydric 1-O,3.740,0.124,0.464,1.169,5.388,4.219,0.027,0.153,16.503,8.082,-8.421,1.730,0.040,9.618,29.313,169.986,140.673,0.437,0.968,0.893,95.257,0.399,57.835,1.396,0.221,3.196,764.287,16.326,9.300,11.202
20220117_Pfrac,PhIr2021,5-Jul-21,West,Hydric,2,,Organic,5-Jul-21 West Hydric 2-O,3.370,0.127,0.427,2.855,5.850,2.995,0.029,0.291,50.962,72.926,21.964,12.896,0.044,15.142,60.816,364.355,303.538,1.613,0.641,1.506,204.651,0.622,39.465,4.063,0.206,3.118,1164.673,27.489,6.444,11.376
20220117_Pfrac,PhIr2021,5-Jul-21,West,Hydric,3,,Organic,5-Jul-21 West Hydric 3-O,5.740,0.125,0.717,1.118,3.489,2.371,0.017,0.229,14.414,5.233,-9.181,1.463,0.026,9.131,31.008,160.851,129.844,0.473,0.848,1.217,53.814,0.070,36.061,1.718,0.184,4.470,645.816,6.663,7.495,8.828
20220117_Pfrac,PhIr2021,19-Jul-21,East,Dry,1,A,Organic,19-Jul-21 East Dry 1A-O,3.390,0.277,0.940,1.481,2.659,1.177,0.013,0.091,11.174,50.908,39.734,3.609,0.185,2.824,77.203,466.055,388.852,1.614,2.544,1.692,368.500,0.908,7.593,1.992,0.617,0.848,1643.099,26.173,48.167,5.927
20220117_Pfrac,PhIr2021,19-Jul-21,East,Dry,1,B,Organic,19-Jul-21 East Dry 1B-O,3.700,0.292,1.081,1.278,2.312,1.034,0.012,0.087,8.392,36.874,28.482,4.426,0.184,2.713,52.561,317.280,264.719,1.333,2.068,1.170,279.296,0.646,5.776,2.191,0.566,0.765,1510.956,29.080,57.820,6.100
20220117_Pfrac,PhIr2021,19-Jul-21,East,Dry,1,C,Organic,19-Jul-21 East Dry 1C-O,4.170,0.262,1.094,2.021,5.394,3.373,0.011,0.107,8.980,35.057,26.077,4.474,0.192,3.191,75.861,449.398,373.537,1.847,2.732,1.587,389.134,0.911,13.918,2.960,0.765,1.045,1735.145,29.068,46.591,6.261
20220117_Pfrac,PhIr2021,19-Jul-21,East,Dry,2,,Organic,19-Jul-21 East Dry 2-O,2.390,0.226,0.539,6.443,14.114,7.670,0.023,0.080,30.899,53.065,22.167,2.521,0.167,4.129,56.688,405.700,349.013,0.634,1.868,0.543,43.934,0.140,7.534,1.553,0.214,1.368,741.805,10.823,19.725,5.838
20220117_Pfrac,PhIr2021,19-Jul-21,East,Dry,3,,Organic,19-Jul-21 East Dry 3-O,2.950,0.299,0.882,39.954,46.982,7.028,0.014,0.085,27.301,41.216,13.915,0.890,0.073,2.417,24.322,210.480,186.158,0.205,0.430,0.355,60.292,0.147,3.401,0.828,0.206,0.848,839.003,27.137,40.375,3.226
20220117_Pfrac,PhIr2021,19-Jul-21,East,Mesic,1,,Organic,19-Jul-21 East Mesic 1-O,3.160,0.262,0.828,2.821,7.527,4.706,0.015,0.039,22.461,69.406,46.946,0.583,0.050,1.943,70.447,401.366,330.919,0.280,0.431,0.439,33.183,0.017,7.351,0.804,0.272,1.376,759.961,3.706,4.510,3.087
20220117_Pfrac,PhIr2021,19-Jul-21,East,Mesic,2,,Organic,19-Jul-21 East Mesic 2-O,2.870,0.262,0.753,6.273,15.118,8.845,0.017,0.065,27.844,100.424,72.581,1.927,0.112,2.300,96.947,599.903,502.956,0.584,1.056,0.357,58.450,0.062,10.813,1.547,0.304,0.953,1016.736,7.286,7.535,3.181
